Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0xb06e1ff89f95699e60e26980a049bd8dff4e6f06,ApeVaultFactory,0.8.2,66,8/23/2022
mainnet,0xc4c57f556e01bb41631b0a0e4b49585e923006b8,mainnetChainImplementer,0.8.13,22,11/10/2022
mainnet,0x283fd83bdeedeb662b5cc805bd762664fb66a6fa,Pair,0.8.17,33,1/25/2023
mainnet,0x0daa8e2df3f004ccf06e96fcfd07a90c066245b2,Vault,0.7.1,2,12/20/2022
mainnet,0x86455d923b704324a1b8e058228332fd36540136,WrappedInFlashLoan,0.8.7,9,8/23/2022
mainnet,0x24ac709b199c1fd5e588e5852f8043a5ded59ee6,WhatDoYouSeeNFT,0.8.9,4,11/10/2022
mainnet,0x7d794f0b6dcabea7d1ec6da099739ab156f00a13,Indelible,0.8.14,25,1/27/2023
mainnet,0xb305298e194a85441d01bcce72df4f45c689fe70,Spacegirls,0.8.7,103,1/26/2022
mainnet,0x27d800f4639e99e61a42711c14a8ceef546acdf9,WyvernProxyRegistry,0.4.23,66,3/27/2022
mainnet,0xe790494430e98ae0c572ba9c11a6e36e6289635e,PixeldroidConsoleFont,0.8.17,1,11/11/2022
mainnet,0x5f6e8e9c888760856e22057cbc81dd9e0494aa34,SpaceFactory,0.7.5,17,5/19/2022
mainnet,0x1ca2002babed23b91537e2f9c8bb61b97798c806,CrowdfundFactory,0.8.17,539,11/11/2022
mainnet,0x1ca2007d4f2bc0ec2a56ecb890e56e05f36182df,PartyFactory,0.8.17,1,11/11/2022
mainnet,0x05eb2521be4a9acd22127e3ea2d5e1a04df30a7d,Factory,0.8.16,4,12/21/2022
mainnet,0x9a7d9b8693339f82d65f315f180faa0a558469bd,Indelible,0.8.14,1625,11/11/2022
mainnet,0xb835085cd507c656e109d64357a5a11130d0333e,MNTFactory,0.8.13,13,3/13/2023
mainnet,0x3b84502df3d36ef2e5318bce5a988460cf349304,Indelible,0.8.14,2009,11/11/2022
mainnet,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Registrar,v0.4.10,1562616,4/27/2017
mainnet,0xdcc90d21186e9c1b60439fdbf88f0f14ad3a7355,RecurringBillingContractFactory,v0.5.2,2,1/10/2019
mainnet,0xb711e09cb0d8856984f80a7d2491fe574a6181df,WrappedInFlashLoan,0.8.7,8,8/24/2022
mainnet,0x7b701e48e4108770c37e78c75b712008891d1ce7,WyvernRegistry,0.7.5,41,1/26/2022
mainnet,0x11f1a4fcdf820529f0f99131e3baa696697a76d5,MetaverseNFTFactory,0.8.9,175,5/21/2022
mainnet,0x9c319dc47ca6c8c5e130d5aef5b8a40cce9e877e,UniV3VaultGovernance,0.8.9,73,12/20/2022
mainnet,0x012233b3c8177f0778d910ed88170b82de3bfe57,Registrar,v0.4.9,3265,3/11/2017
mainnet,0xb18a078aafd872fe06a2ba8c5a7cc068d6bd79a9,DssSpell,0.6.12,3,8/24/2022
mainnet,0xb071f8b6720d9e82b3b76bae80fe517854016bc1,bots,0.8.9,10,8/24/2022
mainnet,0x8ee5cd07d12cab00ac5dedb7f79ddf9464c56bf0,WrappedInFlashLoan,0.8.7,8,8/24/2022
mainnet,0x07307d0b136a79bac718f43388aed706389c4588,Alarm,v0.1.6,19,10/24/2015
mainnet,0x5ab1cbcff0ff369a459b4e60094a698cde8cbbbc,ERC721AFactory,0.8.13,26,3/14/2023
mainnet,0xe1f336d20e1875b4d6807589ed25d9b497bb67d1,ERC1155Factory,0.8.13,11,3/14/2023
mainnet,0xc97d8e6f57b0d64971453ddc6eb8483fec9d163a,Create2Factory,0.8.16,30,9/29/2022
mainnet,0x0000000042dbfe4eca8f719a3693b363adb44a02,ERC721SeaDropCloneFactory,0.8.17,30,3/14/2023
mainnet,0x2a311a7d3fbeb79f91374e1eed4a87fbbbe2cc08,MetaverseNFTFactory,0.8.9,11,3/29/2022
mainnet,0x87511ad7eae71c919502247f1a2dd7031b8059f4,DiagonalRegistryProxy,0.8.15,4,11/12/2022
mainnet,0x0556fc83f154874adccd86d77586b8fafe73fbe4,ERC2981Factory,0.8.6,1,11/10/2021
mainnet,0xbf209cd9f641363931f65c0e8ef44c79ca379301,TokenCreator,v0.4.21,271,4/09/2018
mainnet,0x04f3a2efd68799a8450dcd0323d62c21fd1be39e,TokenSaleCloneFactory,v0.4.25,5,1/03/2019
mainnet,0x847a044af5225f994c60f43e8cf74d20f756187c,AssetStore,0.8.6,7,7/10/2022
mainnet,0x587c9d678c8667d61048bed5c72fe42eedc4cba5,BonsaiNFT,0.8.17,5,12/21/2022
mainnet,0x671ea626229f829eb711ffa141734d211beb66a7,DssSpell,0.6.12,3,5/28/2021
mainnet,0xa0388ffb2a3c198dee723135e0caa423840b375a,Campaign,v0.4.4,5,11/09/2016
mainnet,0x729c53408210b729805bf1ae4a6991c5828ed9a0,ZeroEx,0.6.12,36,5/21/2022
mainnet,0xdefbe7dbc7a53691f98b053b3fb14c4b9acf922c,Indelible,0.8.17,40,3/15/2023
mainnet,0x8c360ecef25e9d06bb5b1a3267e91baf37728c12,Indelible,0.8.14,854,11/13/2022
mainnet,0xcbf5d0b946ba15a0914d39c3e13c3c489d09b4a8,CashKYCSenderReceiverFactory,0.8.16,1,12/22/2022
